playerID,W,L,G,GS,CG,SHO,SV,H,ER,HR,BB,SO,WP,HBP,BFP,R,IP,Win Percentage,Strikeout to Walk,WHIP,ERA_corrected,inducted
achteaj01,2.0,1.0,45.0,0.0,0.0,0.0,0.0,69.0,27.0,13.0,21.0,33.0,0.0,1.0,267.0,30.0,62.0,0.6666666666666666,1.5714285714285714,1.4516129032258065,3.9193548387096775,N
ackerji01,33.0,49.0,467.0,32.0,0.0,0.0,30.0,918.0,399.0,82.0,329.0,482.0,31.0,32.0,3868.0,447.0,904.3333333333334,0.4024390243902439,1.465045592705167,1.3789163287873203,3.970880943604865,N
ackerto01,19.0,13.0,153.0,23.0,5.0,1.0,8.0,365.0,174.0,43.0,150.0,256.0,6.0,17.0,1629.0,181.0,380.3333333333333,0.59375,1.7066666666666668,1.3540753724802805,4.117440841367222,N
acklefr01,1.0,0.0,5.0,4.0,0.0,0.0,0.0,17.0,9.0,4.0,11.0,17.0,1.0,0.0,84.0,10.0,19.333333333333332,1.0,1.5454545454545454,1.4482758620689655,4.189655172413794,N
acostcy01,13.0,9.0,107.0,0.0,0.0,0.0,27.0,143.0,55.0,15.0,77.0,109.0,4.0,12.0,768.0,65.0,186.0,0.5909090909090909,1.4155844155844155,1.1827956989247312,2.6612903225806455,N
acosted01,6.0,9.0,57.0,8.0,3.0,1.0,1.0,153.0,62.0,12.0,39.0,70.0,6.0,4.0,594.0,71.0,137.66666666666666,0.4,1.794871794871795,1.394673123486683,4.053268765133172,N
acostjo01,10.0,10.0,55.0,13.0,6.0,1.0,4.0,265.0,107.0,9.0,68.0,45.0,4.0,0.0,939.0,119.0,213.33333333333334,0.5,0.6617647058823529,1.5609374999999999,4.5140625000000005,N
acostma01,13.0,13.0,233.0,0.0,0.0,0.0,9.0,234.0,110.0,30.0,117.0,219.0,14.0,8.0,1070.0,122.0,248.0,0.5,1.8717948717948718,1.4153225806451613,3.9919354838709675,N
acrema01,9.0,6.0,114.0,0.0,0.0,0.0,2.0,135.0,73.0,16.0,68.0,98.0,3.0,5.0,582.0,75.0,127.0,0.6,1.4411764705882353,1.5984251968503937,5.173228346456693,N
adamja01,5.0,4.0,67.0,0.0,0.0,0.0,0.0,54.0,34.0,12.0,33.0,76.0,5.0,6.0,291.0,37.0,67.66666666666667,0.5555555555555556,2.303030303030303,1.2857142857142856,4.522167487684729,N
adamsac01,41.0,33.0,302.0,7.0,2.0,0.0,49.0,541.0,213.0,26.0,224.0,171.0,15.0,8.0,2379.0,247.0,552.6666666666666,0.5540540540540541,0.7633928571428571,1.3841978287092884,3.468636911942099,N
adamsau01,2.0,0.0,68.0,0.0,0.0,0.0,1.0,91.0,54.0,12.0,34.0,58.0,1.0,0.0,347.0,57.0,75.33333333333333,1.0,1.7058823529411764,1.6592920353982301,6.451327433628318,N
adamsau02,2.0,2.0,41.0,2.0,0.0,0.0,0.0,28.0,18.0,5.0,29.0,70.0,6.0,2.0,183.0,20.0,42.0,0.5,2.413793103448276,1.3571428571428572,3.8571428571428568,N
adamsba01,194.0,140.0,482.0,355.0,206.0,44.0,15.0,2841.0,917.0,68.0,430.0,1036.0,26.0,47.0,11947.0,1129.0,2995.3333333333335,0.5808383233532934,2.4093023255813955,1.0920320498553304,2.7552860004451367,N
adamsbo01,0.0,0.0,2.0,0.0,0.0,0.0,0.0,10.0,5.0,1.0,3.0,1.0,0.0,0.0,28.0,5.0,5.666666666666667,0.0,0.3333333333333333,2.2941176470588234,7.9411764705882355,N
adamsbo02,0.0,1.0,5.0,1.0,0.0,0.0,0.0,21.0,7.0,0.0,3.0,5.0,0.0,0.0,60.0,11.0,12.0,0.0,1.6666666666666667,2.0,5.25,N
adamsch01,1.0,2.0,22.0,1.0,0.0,0.0,1.0,62.0,39.0,11.0,15.0,33.0,3.0,2.0,198.0,41.0,41.666666666666664,0.3333333333333333,2.2,1.848,8.424000000000001,N
adamsda01,4.0,11.0,47.0,16.0,6.0,0.0,3.0,182.0,71.0,5.0,65.0,54.0,8.0,8.0,576.0,87.0,171.0,0.26666666666666666,0.8307692307692308,1.4444444444444444,3.7368421052631575,N
adamsjo02,5.0,6.0,44.0,11.0,0.0,0.0,0.0,121.0,60.0,19.0,37.0,77.0,0.0,9.0,484.0,66.0,110.33333333333333,0.45454545454545453,2.081081081081081,1.43202416918429,4.894259818731118,N
adamska01,1.0,9.0,30.0,12.0,3.0,0.0,0.0,119.0,64.0,5.0,48.0,62.0,4.0,2.0,503.0,72.0,115.0,0.1,1.2916666666666667,1.4521739130434783,5.008695652173913,N
adamsmi01,0.0,4.0,11.0,4.0,0.0,0.0,0.0,28.0,21.0,3.0,22.0,14.0,2.0,0.0,122.0,22.0,25.333333333333332,0.0,0.6363636363636364,1.973684210526316,7.460526315789474,N
adamsmi03,21.0,20.0,408.0,0.0,0.0,0.0,4.0,316.0,109.0,33.0,126.0,409.0,7.0,6.0,1653.0,122.0,407.3333333333333,0.5121951219512195,3.246031746031746,1.0851063829787235,2.4083469721767594,N
adamsre01,0.0,1.0,8.0,0.0,0.0,0.0,0.0,18.0,11.0,1.0,7.0,8.0,0.0,0.0,59.0,12.0,12.0,0.0,1.1428571428571428,2.0833333333333335,8.25,N
adamsri01,2.0,5.0,11.0,6.0,3.0,1.0,0.0,63.0,25.0,1.0,24.0,25.0,0.0,8.0,271.0,30.0,62.666666666666664,0.2857142857142857,1.0416666666666667,1.3882978723404256,3.5904255319148937,N
adamste01,51.0,62.0,574.0,41.0,0.0,0.0,42.0,890.0,403.0,63.0,380.0,691.0,54.0,17.0,3801.0,448.0,869.3333333333334,0.45132743362831856,1.818421052631579,1.4608895705521472,4.172162576687116,N
adamswi01,8.0,16.0,65.0,21.0,8.0,0.0,2.0,303.0,138.0,8.0,144.0,74.0,8.0,19.0,1238.0,172.0,284.3333333333333,0.3333333333333333,0.5138888888888888,1.5720984759671748,4.368112543962486,N
adamswi02,6.0,9.0,25.0,24.0,1.0,1.0,0.0,149.0,87.0,20.0,55.0,105.0,4.0,9.0,611.0,92.0,134.66666666666666,0.4,1.9090909090909092,1.5148514851485149,5.814356435643565,N
adcocna01,2.0,6.0,56.0,5.0,0.0,0.0,1.0,126.0,57.0,14.0,56.0,80.0,6.0,7.0,541.0,64.0,123.0,0.25,1.4285714285714286,1.4796747967479675,4.170731707317073,N
adenhni01,1.0,0.0,4.0,4.0,0.0,0.0,0.0,25.0,12.0,0.0,16.0,9.0,3.0,0.0,90.0,12.0,18.0,1.0,0.5625,2.2777777777777777,6.0,N
