playerID,G,AB,R,H,2B,3B,HR,RBI,SB,BB,SO,HBP,SH,SF,AVG,OBP,SLG
delanro01,5,0,0,0,0,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
delarda01,90,0,0,0,0,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
delareu01,44,3,0,0,0,0,0,0.0,0.0,0,2.0,0.0,1.0,0.0,0.0,0.0,0.0
delarfr01,2,0,0,0,0,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
delarje01,3,3,1,1,1,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.3333333333333333,0.3333333333333333,0.6666666666666666
delarjo01,432,379,22,48,4,0,0,27.0,0.0,7,160.0,1.0,31.0,1.0,0.1266490765171504,0.14432989690721648,0.13720316622691292
delarru01,98,94,4,10,0,0,0,3.0,0.0,1,29.0,0.0,8.0,0.0,0.10638297872340426,0.11578947368421053,0.10638297872340426
delarto01,49,83,8,24,3,1,2,10.0,2.0,8,14.0,1.0,3.0,0.0,0.2891566265060241,0.358695652173913,0.42168674698795183
delatjo01,7,0,0,0,0,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
delcama01,298,1,0,0,0,0,0,0.0,0.0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
deleojo01,416,419,12,38,1,1,0,9.0,0.0,16,171.0,2.0,52.0,1.0,0.09069212410501193,0.1278538812785388,0.09785202863961814
deleojo02,19,0,0,0,0,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
deleojo03,13,4,0,0,0,0,0,0.0,0.0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
deleolu01,209,35,4,4,1,0,0,0.0,0.0,2,19.0,0.0,5.0,0.0,0.11428571428571428,0.16216216216216217,0.14285714285714285
delgaal01,26,20,5,5,0,0,0,1.0,0.0,3,3.0,0.0,1.0,0.0,0.25,0.34782608695652173,0.25
delgaca01,2035,7283,1241,2038,483,18,473,1512.0,14.0,1109,1745.0,172.0,0.0,93.0,0.2798297404915557,0.3833891648377036,0.545928875463408
delgaje01,2,0,0,0,0,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
delgapu01,13,22,4,4,0,0,0,2.0,0.0,1,8.0,0.0,0.0,0.0,0.18181818181818182,0.21739130434782608,0.18181818181818182
