playerID,G,AB,R,H,2B,3B,HR,RBI,SB,BB,SO,HBP,SH,SF,AVG,OBP,SLG,inducted
garryji01,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,N
garvemi01,242.0,731.0,121.0,187.0,37.0,6.0,40.0,120.0,0.0,83.0,211.0,8.0,1.0,4.0,0.2558139534883721,0.3365617433414044,0.48700410396716826,N
garvene01,458.0,827.0,87.0,180.0,27.0,3.0,7.0,72.0,1.0,76.0,109.0,1.0,53.0,5.0,0.21765417170495768,0.28272827282728275,0.282950423216445,N
garvest01,2332.0,8835.0,1143.0,2599.0,440.0,43.0,272.0,1308.0,83.0,479.0,1003.0,29.0,33.0,90.0,0.29417091114883986,0.3293755963108237,0.446066779852858,N
garvine01,181.0,500.0,34.0,61.0,1.0,0.0,0.0,18.0,1.0,17.0,104.0,3.0,18.0,0.0,0.122,0.15576923076923077,0.124,N
garzama01,290.0,274.0,7.0,22.0,3.0,0.0,0.0,4.0,0.0,6.0,155.0,3.0,31.0,0.0,0.08029197080291971,0.10954063604240283,0.09124087591240876,N
gaspaha01,143.0,266.0,16.0,36.0,5.0,0.0,0.0,16.0,1.0,14.0,84.0,1.0,12.0,0.0,0.13533834586466165,0.18149466192170818,0.15413533834586465,N
gasparo01,178.0,260.0,35.0,54.0,6.0,1.0,1.0,17.0,8.0,33.0,29.0,2.0,7.0,1.0,0.2076923076923077,0.30067567567567566,0.25,N
gassach01,39.0,58.0,4.0,8.0,0.0,0.0,0.0,6.0,0.0,3.0,23.0,0.0,0.0,0.0,0.13793103448275862,0.18032786885245902,0.13793103448275862,N
gastato01,52.0,83.0,7.0,15.0,3.0,0.0,0.0,4.0,0.0,6.0,13.0,1.0,1.0,1.0,0.18072289156626506,0.24175824175824176,0.21686746987951808,N
gastfed01,25.0,88.0,6.0,6.0,1.0,0.0,0.0,2.0,0.0,2.0,37.0,0.0,0.0,0.0,0.06818181818181818,0.08888888888888889,0.07954545454545454,N
gastjo01,3.0,5.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,0.0,0.0,0.0,0.0,0.16666666666666666,0.0,N
gastoal01,215.0,514.0,58.0,112.0,13.0,6.0,3.0,40.0,5.0,29.0,56.0,5.0,17.0,0.0,0.2178988326848249,0.2664233576642336,0.2840466926070039,N
gastoci01,1026.0,3120.0,314.0,799.0,106.0,30.0,91.0,387.0,13.0,185.0,693.0,9.0,10.0,15.0,0.25608974358974357,0.2982877741063382,0.3967948717948718,N
gastomi01,355.0,724.0,55.0,145.0,31.0,2.0,6.0,75.0,2.0,21.0,135.0,5.0,32.0,0.0,0.20027624309392264,0.228,0.27348066298342544,N
gastowe01,3.0,9.0,2.0,2.0,1.0,1.0,0.0,3.0,0.0,0.0,2.0,1.0,0.0,0.0,0.2222222222222222,0.3,0.5555555555555556,N
gastrha01,173.0,544.0,52.0,101.0,11.0,8.0,0.0,56.0,6.0,43.0,54.0,2.0,0.0,0.0,0.18566176470588236,0.24787775891341257,0.23529411764705882,N
gatesbr01,685.0,2329.0,268.0,616.0,119.0,11.0,25.0,279.0,18.0,225.0,349.0,10.0,25.0,36.0,0.26449119793902964,0.3273076923076923,0.3572348647488192,N
gatesjo01,24.0,40.0,11.0,7.0,0.0,1.0,0.0,2.0,2.0,6.0,9.0,1.0,1.0,0.0,0.175,0.2978723404255319,0.225,N
gatesmi01,37.0,123.0,17.0,29.0,2.0,4.0,0.0,9.0,0.0,9.0,20.0,0.0,0.0,2.0,0.23577235772357724,0.2835820895522388,0.3170731707317073,N
gatewau01,76.0,42.0,4.0,5.0,1.0,0.0,0.0,1.0,0.0,2.0,23.0,0.0,0.0,0.0,0.11904761904761904,0.1590909090909091,0.14285714285714285,N
gathrjo01,452.0,1175.0,178.0,309.0,30.0,7.0,1.0,96.0,81.0,97.0,212.0,19.0,32.0,6.0,0.2629787234042553,0.3276792598303778,0.3029787234042553,N
gatinfr01,67.0,255.0,27.0,58.0,9.0,2.0,1.0,26.0,8.0,8.0,31.0,3.0,3.0,0.0,0.22745098039215686,0.2593984962406015,0.2901960784313726,N
gattiev01,706.0,2443.0,299.0,605.0,116.0,12.0,139.0,410.0,3.0,167.0,575.0,26.0,0.0,26.0,0.24764633647155138,0.2997746055597295,0.47564469914040114,N
gaudeji01,6.0,14.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.07142857142857142,0.07142857142857142,0.07142857142857142,N
gaudich01,346.0,65.0,1.0,2.0,0.0,0.0,0.0,1.0,0.0,4.0,34.0,0.0,5.0,0.0,0.03076923076923077,0.08695652173913043,0.03076923076923077,N
gaulemi01,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,N
gausmke01,204.0,56.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,5.0,35.0,0.0,0.0,0.0,0.03571428571428571,0.11475409836065574,0.03571428571428571,N
gautrdo01,261.0,806.0,122.0,207.0,34.0,10.0,0.0,52.0,40.0,99.0,63.0,4.0,26.0,0.0,0.25682382133995035,0.341034103410341,0.3238213399503722,N
gautrsi01,86.0,81.0,8.0,20.0,4.0,0.0,0.0,18.0,0.0,10.0,8.0,1.0,0.0,0.0,0.24691358024691357,0.33695652173913043,0.2962962962962963,N
gaver01,1.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,N
gavigsa01,98.0,8.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.25,0.25,0.375,N
gawch01,6.0,4.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.25,0.25,0.25,N
gazelmi01,160.0,352.0,51.0,85.0,14.0,4.0,0.0,32.0,8.0,56.0,50.0,3.0,20.0,0.0,0.24147727272727273,0.35036496350364965,0.3039772727272727,N
gearda01,69.0,238.0,25.0,57.0,11.0,3.0,0.0,25.0,4.0,8.0,16.0,1.0,2.0,0.0,0.23949579831932774,0.26720647773279355,0.31092436974789917,N
gearhga01,73.0,179.0,26.0,44.0,9.0,0.0,6.0,17.0,1.0,17.0,30.0,1.0,1.0,0.0,0.24581005586592178,0.3147208121827411,0.39664804469273746,N
gearidi01,17.0,16.0,2.0,5.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.3125,0.3125,0.3125,N
gearrco01,337.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,N
gearybo01,35.0,45.0,3.0,11.0,0.0,0.0,0.0,8.0,0.0,5.0,3.0,0.0,1.0,0.0,0.24444444444444444,0.32,0.24444444444444444,N
gearyge01,287.0,17.0,2.0,2.0,1.0,0.0,0.0,1.0,0.0,1.0,10.0,0.0,0.0,0.0,0.11764705882352941,0.16666666666666666,0.17647058823529413,N
gearyhu01,55.0,188.0,20.0,30.0,4.0,0.0,1.0,15.0,3.0,20.0,9.0,0.0,1.0,0.0,0.1595744680851064,0.2403846153846154,0.19680851063829788,N
gebripe01,27.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,1.0,0.0,0.0,0.0,0.0,N
geddeji01,12.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,N
