playerID,G,AB,R,H,2B,3B,HR,RBI,SB,BB,SO,HBP,SH,SF,AVG,OBP,SLG,inducted
aaronha01,3298.0,12364.0,2174.0,3771.0,624.0,98.0,755.0,2297.0,240.0,1402.0,1383.0,32.0,21.0,121.0,0.30499838240051763,0.3739492779653711,0.5545131025558072,Y
aaronto01,437.0,944.0,102.0,216.0,42.0,6.0,13.0,94.0,9.0,86.0,145.0,0.0,9.0,6.0,0.2288135593220339,0.2915057915057915,0.3273305084745763,N
abbated01,855.0,3044.0,355.0,772.0,99.0,43.0,11.0,324.0,142.0,289.0,283.0,33.0,93.0,0.0,0.2536136662286465,0.32501485442661915,0.3252299605781866,N
abbeych01,452.0,1756.0,307.0,493.0,67.0,46.0,19.0,280.0,93.0,167.0,122.0,23.0,19.0,0.0,0.28075170842824604,0.3509763617677287,0.4037585421412301,N
abbotfr01,160.0,513.0,48.0,107.0,21.0,6.0,1.0,49.0,14.0,19.0,75.0,8.0,20.0,0.0,0.20857699805068225,0.24814814814814815,0.2787524366471735,N
abbotje01,233.0,596.0,82.0,157.0,33.0,2.0,18.0,83.0,6.0,38.0,91.0,3.0,5.0,7.0,0.2634228187919463,0.30745341614906835,0.4161073825503356,N
abbotku01,702.0,2044.0,273.0,523.0,109.0,23.0,62.0,242.0,22.0,133.0,571.0,17.0,21.0,12.0,0.25587084148727984,0.30507706255666367,0.4227005870841487,N
abernbr01,232.0,868.0,97.0,212.0,36.0,5.0,8.0,79.0,21.0,60.0,93.0,7.0,16.0,4.0,0.24423963133640553,0.2971246006389776,0.3248847926267281,N
abnersh01,392.0,840.0,89.0,191.0,39.0,4.0,11.0,71.0,6.0,43.0,153.0,7.0,5.0,7.0,0.22738095238095238,0.2686733556298774,0.32261904761904764,N
abramca01,567.0,1611.0,257.0,433.0,64.0,19.0,32.0,138.0,12.0,304.0,290.0,7.0,16.0,4.0,0.26877715704531346,0.3862928348909657,0.39168218497827434,N
abreubo01,2425.0,8480.0,1453.0,2470.0,574.0,59.0,288.0,1363.0,400.0,1476.0,1840.0,33.0,7.0,85.0,0.29127358490566035,0.3949771689497717,0.47476415094339625,N
abreujo02,961.0,3787.0,526.0,1114.0,233.0,14.0,198.0,671.0,10.0,263.0,835.0,83.0,0.0,35.0,0.2941642461050964,0.3502879078694818,0.519936625297069,N
abreuto01,224.0,579.0,61.0,147.0,39.0,6.0,6.0,60.0,2.0,22.0,116.0,5.0,1.0,8.0,0.2538860103626943,0.28338762214983715,0.37305699481865284,N
abstebi01,170.0,619.0,54.0,150.0,22.0,10.0,1.0,76.0,21.0,29.0,75.0,4.0,29.0,0.0,0.24232633279483037,0.28067484662576686,0.3150242326332795,N
ackledu01,635.0,2125.0,261.0,512.0,94.0,18.0,46.0,216.0,31.0,194.0,419.0,5.0,11.0,12.0,0.24094117647058824,0.3043664383561644,0.36705882352941177,N
acunaro01,313.0,1219.0,251.0,342.0,59.0,6.0,81.0,194.0,61.0,159.0,371.0,19.0,0.0,4.0,0.280557834290402,0.371163454675232,0.5381460213289582,N
adairje01,1165.0,4019.0,378.0,1022.0,163.0,19.0,57.0,366.0,29.0,208.0,499.0,17.0,41.0,30.0,0.25429211246578753,0.29176415535797845,0.3468524508584225,N
adamewi01,291.0,1004.0,141.0,263.0,47.0,2.0,38.0,109.0,12.0,97.0,322.0,4.0,4.0,3.0,0.26195219123505975,0.3285198555956679,0.4262948207171315,N
