playerID,G,AB,R,H,2B,3B,HR,RBI,SB,BB,SO,HBP,SH,SF,AVG,OBP,SLG
altmage01,991,3091,409,832,132,34,101,403.0,52.0,268,572.0,20.0,19.0,21.0,0.26916855386606275,0.32941176470588235,0.43189906179230025
altuvjo01,1291,5177,766,1610,308,28,133,556.0,256.0,377,662.0,50.0,25.0,39.0,0.31099092138304035,0.36097820308346623,0.4583735754297856
alvarpe01,910,2980,365,704,131,6,162,472.0,15.0,314,952.0,11.0,1.0,15.0,0.23624161073825503,0.30993975903614457,0.44731543624161074
alvisma01,1013,3629,421,895,142,22,111,373.0,43.0,262,662.0,35.0,36.0,22.0,0.24662441443923946,0.30192502532928067,0.38963901901350234
amaroru01,940,2155,211,505,75,13,8,156.0,11.0,227,280.0,10.0,47.0,12.0,0.23433874709976799,0.3086522462562396,0.2923433874709977
anderbr01,1834,6499,1062,1661,338,67,210,761.0,315.0,960,1190.0,154.0,74.0,50.0,0.2555777811971072,0.3621297142111445,0.4251423295891676
anderda02,873,2026,244,490,73,12,19,143.0,49.0,206,331.0,5.0,37.0,13.0,0.2418558736426456,0.31155555555555553,0.31786771964461996
anderga01,2228,8640,1084,2529,522,36,287,1365.0,80.0,429,1224.0,8.0,13.0,87.0,0.29270833333333335,0.3236577913574858,0.46111111111111114
anderjo01,1636,6345,871,1843,328,124,50,978.0,338.0,310,356.0,53.0,65.0,0.0,0.2904649330181245,0.32886106141920096,0.4048857368006304
anderma02,1151,3204,392,849,174,20,63,371.0,71.0,227,471.0,15.0,31.0,31.0,0.2649812734082397,0.3137762438884095,0.39076154806491886
anderti01,570,2270,332,637,119,14,74,227.0,73.0,81,587.0,13.0,10.0,8.0,0.2806167400881057,0.3081787521079258,0.4431718061674009
andreed01,774,3233,602,830,117,26,12,278.0,205.0,194,245.0,9.0,0.0,0.0,0.2567274976801732,0.30064027939464494,0.3201360965047943
andremi01,893,3116,441,803,140,4,66,316.0,18.0,458,390.0,16.0,72.0,23.0,0.25770218228498076,0.35344588984223635,0.36874197689345317
andruel01,1652,6366,893,1743,303,48,76,636.0,305.0,516,962.0,44.0,100.0,52.0,0.27379830348727613,0.3300372599598739,0.37229029217719134
ansonca01,2524,10281,1999,3435,582,142,97,2075.0,277.0,984,330.0,32.0,34.0,0.0,0.3341114677560549,0.3939984066566345,0.44664915864215543
aokino01,759,2716,377,774,135,22,33,219.0,98.0,234,258.0,48.0,30.0,15.0,0.2849779086892489,0.3504812479256555,0.3873343151693667
