First Name,Last Name,G,AB,R,H,2B,3B,HR,RBI,SB,BB,SO,HBP,SH,SF,AVG,OBP,SLG,Inducted,HOF Prediction,Yes HOF Probability
Harry,Hooper,2309.0,8785.0,1429.0,2466.0,389.0,160.0,75.0,817.0,375.0,1136.0,492.0,76.0,247.0,0.0,0.280705748434832,0.367910373111934,0.387023335230507,1,1,99.98922348022461
Rogers,Hornsby,2259.0,8173.0,1579.0,2930.0,541.0,169.0,301.0,1584.0,135.0,1038.0,679.0,48.0,216.0,0.0,0.358497491741099,0.433740144724052,0.576532485011624,1,1,99.99969005584717
Reggie,Jackson,2820.0,9864.0,1551.0,2584.0,463.0,49.0,563.0,1702.0,228.0,1375.0,2597.0,96.0,13.0,68.0,0.261962692619627,0.355608173287731,0.490064882400649,1,1,99.80798959732056
Travis,Jackson,1656.0,6086.0,833.0,1768.0,291.0,86.0,135.0,929.0,71.0,412.0,565.0,10.0,171.0,0.0,0.290502793296089,0.336508912108175,0.433125205389418,1,1,99.55388903617859
Baby Doll,Jacobson,1472.0,5507.0,787.0,1714.0,328.0,94.0,83.0,821.0,86.0,355.0,410.0,39.0,171.0,0.0,0.311240239694934,0.357227588544315,0.45015434901035,0,1,98.9436149597168
Hughie,Jennings,1284.0,4895.0,992.0,1526.0,232.0,88.0,18.0,840.0,359.0,347.0,233.0,287.0,119.0,0.0,0.311746680286006,0.390667390124797,0.406128702757916,1,1,99.97078776359558
Derek,Jeter,2747.0,11195.0,1923.0,3465.0,544.0,66.0,260.0,1311.0,358.0,1082.0,1840.0,170.0,97.0,58.0,0.309513175524788,0.377209116353459,0.439571237159446,0,1,99.40834641456604
Bob,Johnson,1863.0,6920.0,1239.0,2051.0,396.0,95.0,288.0,1283.0,96.0,1075.0,851.0,24.0,28.0,0.0,0.296387283236994,0.392817059483726,0.505924855491329,0,1,99.17284846305847
Chipper,Jones,2499.0,8984.0,1619.0,2726.0,549.0,38.0,468.0,1623.0,150.0,1512.0,1409.0,18.0,3.0,97.0,0.303428317008014,0.401093205164452,0.529274265360641,1,1,99.958735704422
Joe,Judge,2171.0,7898.0,1184.0,2352.0,433.0,159.0,71.0,1034.0,213.0,965.0,478.0,51.0,257.0,0.0,0.297796910610281,0.377832622840476,0.419853127374019,0,1,99.9882459640503
Al,Kaline,2834.0,10116.0,1622.0,3007.0,498.0,75.0,399.0,1583.0,137.0,1277.0,1020.0,55.0,45.0,104.0,0.297251878212732,0.37560595567867,0.479636219849743,1,1,99.99728202819824
Willie,Keeler,2123.0,8591.0,1719.0,2932.0,241.0,145.0,33.0,810.0,495.0,524.0,136.0,129.0,366.0,0.0,0.341287393784193,0.387819125919515,0.414619951111628,1,1,99.97785687446594
Joe,Kelley,1853.0,7006.0,1421.0,2220.0,358.0,194.0,65.0,1194.0,443.0,911.0,430.0,82.0,140.0,0.0,0.316871253211533,0.401675209401175,0.451184698829575,1,1,99.99521970748901
George,Kell,1795.0,6702.0,881.0,2054.0,385.0,50.0,78.0,870.0,51.0,621.0,287.0,36.0,149.0,20.0,0.30647567890182,0.367393955820572,0.413757087436586,1,1,99.98136162757874
High Pockets,Kelly,1622.0,5993.0,819.0,1778.0,337.0,76.0,148.0,1020.0,65.0,386.0,694.0,28.0,158.0,0.0,0.296679459369264,0.342125799906352,0.452361087935925,1,1,99.98008608818054
Chuck,Klein,1753.0,6486.0,1168.0,2076.0,398.0,74.0,300.0,1201.0,79.0,601.0,521.0,12.0,69.0,0.0,0.320074005550416,0.378785744471052,0.543015726179463,1,1,99.9984622001648
Nap,Lajoie,2480.0,9590.0,1504.0,3243.0,657.0,163.0,82.0,1599.0,380.0,516.0,321.0,134.0,221.0,0.0,0.338164754953076,0.38017578125,0.466319082377477,1,1,99.97990727424622
Tony,Lazzeri,1740.0,6297.0,986.0,1840.0,334.0,115.0,178.0,1191.0,148.0,869.0,864.0,21.0,116.0,0.0,0.292202636175957,0.379852511479059,0.466571383198348,1,1,99.81755018234253
Tommy,Leach,2156.0,7959.0,1355.0,2143.0,266.0,172.0,63.0,810.0,361.0,820.0,666.0,32.0,240.0,0.0,0.269254931524061,0.339916014073317,0.369644427691921,0,1,97.74098992347717
Freddie,Lindstrom,1438.0,5611.0,895.0,1747.0,301.0,81.0,103.0,779.0,84.0,334.0,276.0,13.0,146.0,0.0,0.311352700053466,0.351460221550856,0.448939582962039,1,1,99.97162222862244
Kenny,Lofton,2103.0,8120.0,1528.0,2428.0,383.0,116.0,130.0,781.0,622.0,945.0,1016.0,32.0,72.0,65.0,0.299014778325123,0.371643745907007,0.422783251231527,0,1,99.45856928825378
